seed,case,success_rate,median,ci_low,ci_high
42,isotropic,100.0,306.5,262.5,311.0
42,independent,100.0,310.0,,
42,aligned,100.0,175.5,154.0,180.62957764893508
42,misaligned,100.0,380.0,,
100,isotropic,100.0,612.0,584.5,780.0
100,independent,100.0,599.0,,
100,aligned,100.0,175.0,,
100,misaligned,100.0,1111.0,915.0,1136.0
2024,isotropic,100.0,609.0,,
2024,independent,100.0,599.5,582.5,644.0
2024,aligned,100.0,158.5,156.0,160.0
2024,misaligned,100.0,882.5,871.0,988.5
5678,isotropic,82.0,1119.0,936.0,1480.0
5678,independent,82.0,1310.0,1073.0,1521.0
5678,aligned,100.0,183.0,,
5678,misaligned,24.0,1672.0,1447.5,1942.0
9999,isotropic,100.0,991.0,947.0,1070.0
9999,independent,100.0,981.0,884.5,1026.055183629307
9999,aligned,100.0,170.0,,
9999,misaligned,100.0,1191.5,1147.0,1205.0
